MSSV,NMDT,CTRR,HTS,KTLT,CTDLGT,KTMT,LTHDT,MHH,HCSDL,HDH,NMTTNT,DHMT,MMANM
17738653,8.0,8.0,8.0,8.0,7.5,8.0,8.0,8.0,8.0,7.5,1,0,1
18088979,7.5,6.5,6.0,8.0,6.5,7.5,7.0,8.0,6.5,7.0,0,0,0
18113261,9.0,8.5,6.5,10.0,8.0,7.0,6.5,9.5,7.0,7.5,0,0,0
18188612,8.5,8.5,7.5,8.0,6.5,7.5,7.5,8.0,7.5,9.0,0,0,0
18334780,7.5,8.0,5.5,5.0,5.5,5.5,6.5,7.0,7.5,7.0,1,1,1
18434786,7.0,7.5,6.0,6.5,8.5,8.0,9.0,7.5,8.0,8.0,1,1,0
18787410,6.5,5.5,7.0,5.5,4.5,5.5,7.0,6.5,6.0,6.0,1,0,0
19453491,8.0,7.5,9.0,10.0,9.5,8.0,8.0,8.0,7.5,7.5,0,0,0
19718802,7.0,6.0,7.0,8.5,7.0,5.5,6.5,7.0,7.5,7.5,0,0,0
19898710,8.0,8.0,7.0,7.0,7.0,7.5,7.5,8.5,7.5,7.0,0,0,0
20368742,7.5,7.5,8.0,9.5,9.5,9.0,9.5,9.5,8.5,7.0,0,1,0
21110338,8.5,6.5,6.5,8.5,5.5,7.0,7.5,7.5,7.0,7.0,0,0,0
21630437,7.5,8.5,9.0,8.5,10.0,8.5,8.5,8.5,8.0,8.0,0,0,0
21665264,8.0,6.0,7.5,7.5,6.5,8.5,8.0,7.5,7.0,7.5,1,1,0
21721644,7.5,6.5,8.0,7.5,7.5,8.5,8.5,8.0,8.0,8.0,1,0,1
22278201,6.5,5.5,5.0,5.0,1.5,6.0,5.5,6.5,5.5,6.0,1,1,0
22321402,6.5,7.0,5.5,6.5,7.0,7.0,8.5,7.5,8.0,7.5,1,0,1
22432972,9.0,8.5,9.5,10.0,9.0,9.5,9.0,8.5,8.5,9.0,0,0,0
22695083,5.0,7.5,5.5,6.0,8.0,6.5,8.5,6.5,7.0,6.5,1,1,1
22941506,7.5,7.0,5.5,8.5,7.0,7.5,8.0,7.0,7.5,7.5,0,0,0
23183182,9.0,6.5,7.5,7.5,0.0,8.0,7.5,5.5,6.0,9.0,1,0,0
23633400,6.5,7.0,6.0,6.0,6.5,6.0,8.0,6.0,6.5,6.0,1,1,0
23757354,6.5,6.0,5.5,6.0,5.0,6.0,9.0,6.5,7.5,6.5,1,0,0
24831481,9.0,8.0,6.0,7.5,6.5,7.5,7.5,8.0,8.0,7.5,0,0,0
25577791,6.5,6.0,7.5,7.5,8.0,7.0,7.0,8.0,6.5,8.0,1,1,1
25680604,8.5,8.0,6.0,7.5,8.0,8.5,9.0,8.5,8.0,7.5,0,0,1
25761104,8.5,6.5,7.0,9.0,8.0,7.5,7.5,7.5,7.0,7.0,0,0,0
26340235,7.0,7.5,6.5,6.5,6.0,7.0,8.0,7.0,5.0,7.5,1,1,1
26556653,6.0,8.0,10.0,8.5,7.5,9.0,9.0,8.5,8.0,8.5,0,1,0
26921752,7.5,6.5,6.5,9.0,7.0,7.0,6.0,7.0,7.0,7.5,0,0,0
27023674,7.5,7.0,6.0,6.0,6.5,7.5,8.5,6.5,8.5,8.0,1,1,0
28406966,9.0,6.0,5.0,5.0,4.0,8.0,7.0,7.0,6.5,7.5,0,0,0
28427247,7.0,6.5,6.5,7.0,6.0,7.5,8.5,6.0,7.0,7.0,1,1,1
28790463,8.0,7.0,5.0,6.5,7.0,5.5,8.0,9.0,5.5,7.5,1,1,1
28856843,7.5,5.5,5.5,8.0,0.0,2.5,5.0,5.5,7.0,6.0,0,0,0
28953978,8.5,7.5,8.0,8.5,8.0,8.0,8.0,7.5,8.0,8.0,0,0,0
29110504,7.5,5.5,5.5,7.0,7.0,5.5,6.5,8.0,7.0,7.5,1,1,1
29500525,8.0,7.5,7.5,9.0,8.5,8.5,9.5,8.5,9.0,9.0,0,0,0
29759993,9.5,8.5,8.5,8.5,8.5,8.0,7.0,8.0,8.5,8.5,0,0,0
29851291,6.5,7.5,6.5,6.5,8.0,8.0,9.0,7.0,8.5,8.0,1,1,0
29987423,7.5,9.5,8.0,8.0,8.5,8.0,8.5,8.5,7.5,7.5,1,1,0
30227536,7.0,7.0,4.5,7.5,7.0,5.5,7.5,5.5,7.5,4.0,0,0,0
30245755,7.5,8.0,7.0,6.5,7.0,7.0,8.5,7.0,7.5,6.5,1,1,1
30252433,7.5,7.0,8.0,6.0,8.0,7.0,8.0,6.5,6.5,7.0,1,1,0
30498131,8.0,7.5,6.5,6.5,5.5,5.0,6.5,7.0,7.5,6.0,1,0,1
30633146,9.0,8.5,9.0,9.5,6.5,7.0,8.0,9.0,8.5,9.5,1,0,0
31164911,6.0,7.0,5.5,5.5,6.0,6.0,7.0,7.0,6.0,7.0,1,0,1
31231599,6.5,6.0,6.0,7.0,6.5,6.5,7.5,7.5,7.0,7.5,1,1,0
